ASSERTION	AAMDAAMFAAAAAAAAAFlA
ASSERTION	AAMEAAEEAAAAAAAAwFdABgAAAAAAAECfQA==
ASSERTION	AAMEAAECBgAAAAAAAHCHQA==
RUN	uk.gov.dhsc.htbhf.ClaimSimulation	claimsimulation	1569814050109	Web-UI performance tests	3.0.3
REQUEST	8		send_do_you_live_in_scotland_yes Redirect 1	1569814053628	1569814053649	OK	 
REQUEST	20		send_dob Redirect 1	1569814053644	1569814053665	OK	 
USER	Scottish Scenario	26	START	1569814053704	1569814053704
USER	Full scenarios	31	START	1569814053704	1569814053704
REQUEST	31		scotland-no	1569814053705	1569814053734	OK	 
REQUEST	26		scotland-yes	1569814053705	1569814053740	OK	 
REQUEST	18		send_dob	1569814053725	1569814053744	OK	 
REQUEST	31		send_do_you_live_in_scotland_no	1569814053736	1569814053751	OK	 
REQUEST	18		send_dob Redirect 1	1569814053745	1569814053763	OK	 
REQUEST	31		send_do_you_live_in_scotland_no Redirect 1	1569814053752	1569814053775	OK	 
REQUEST	7		send_do_you_live_in_scotland_yes	1569814053785	1569814053802	OK	 
REQUEST	7		send_do_you_live_in_scotland_yes Redirect 1	1569814053803	1569814053824	OK	 
USER	Scottish Scenario	27	START	1569814053905	1569814053905
USER	Full scenarios	32	START	1569814053905	1569814053905
REQUEST	32		scotland-no	1569814053906	1569814053932	OK	 
REQUEST	27		scotland-yes	1569814053906	1569814053944	OK	 
REQUEST	32		send_do_you_live_in_scotland_no	1569814053935	1569814053959	OK	 
REQUEST	12		send_do_you_have_children	1569814053945	1569814053964	OK	 
REQUEST	17		send_dob	1569814053955	1569814053972	OK	 
REQUEST	32		send_do_you_live_in_scotland_no Redirect 1	1569814053960	1569814053984	OK	 
REQUEST	17		send_dob Redirect 1	1569814053973	1569814053988	OK	 
REQUEST	12		send_do_you_have_children Redirect 1	1569814053965	1569814053990	OK	 
REQUEST	19		send_dob	1569814054007	1569814054025	OK	 
REQUEST	19		send_dob Redirect 1	1569814054026	1569814054041	OK	 
USER	Full scenarios	39	START	1569814054075	1569814054075
USER	Scottish Scenario	33	START	1569814054075	1569814054075
REQUEST	33		scotland-yes	1569814054080	1569814054105	OK	 
REQUEST	16		send_do_you_have_children	1569814054095	1569814054116	OK	 
REQUEST	10		send_do_you_live_in_scotland_yes	1569814054084	1569814054118	OK	 
REQUEST	39		scotland-no	1569814054076	1569814054128	OK	 
REQUEST	16		send_do_you_have_children Redirect 1	1569814054117	1569814054132	OK	 
REQUEST	10		send_do_you_live_in_scotland_yes Redirect 1	1569814054119	1569814054143	OK	 
USER	Scottish Scenario	1	END	1569814050904	1569814054146
REQUEST	39		send_do_you_live_in_scotland_no	1569814054130	1569814054149	OK	 
REQUEST	9		send_do_you_live_in_scotland_yes	1569814054134	1569814054152	OK	 
REQUEST	39		send_do_you_live_in_scotland_no Redirect 1	1569814054150	1569814054167	OK	 
REQUEST	9		send_do_you_live_in_scotland_yes Redirect 1	1569814054154	1569814054168	OK	 
USER	Full scenarios	40	START	1569814054235	1569814054235
USER	Scottish Scenario	34	START	1569814054249	1569814054249
REQUEST	23		send_do_you_live_in_scotland_yes	1569814054225	1569814054248	OK	 
REQUEST	13		send_do_you_have_children	1569814054237	1569814054267	OK	 
REQUEST	40		scotland-no	1569814054236	1569814054272	OK	 
REQUEST	23		send_do_you_live_in_scotland_yes Redirect 1	1569814054253	1569814054275	OK	 
REQUEST	34		scotland-yes	1569814054251	1569814054282	OK	 
REQUEST	13		send_do_you_have_children Redirect 1	1569814054268	1569814054293	OK	 
REQUEST	40		send_do_you_live_in_scotland_no	1569814054274	1569814054296	OK	 
REQUEST	40		send_do_you_live_in_scotland_no Redirect 1	1569814054297	1569814054320	OK	 
USER	Full scenarios	41	START	1569814054404	1569814054404
USER	Scottish Scenario	35	START	1569814054404	1569814054404
REQUEST	41		scotland-no	1569814054405	1569814054426	OK	 
REQUEST	35		scotland-yes	1569814054406	1569814054430	OK	 
REQUEST	41		send_do_you_live_in_scotland_no	1569814054430	1569814054446	OK	 
REQUEST	15		send_do_you_have_children	1569814054435	1569814054449	OK	 
REQUEST	14		send_do_you_have_children	1569814054435	1569814054457	OK	 
REQUEST	41		send_do_you_live_in_scotland_no Redirect 1	1569814054447	1569814054464	OK	 
REQUEST	15		send_do_you_have_children Redirect 1	1569814054450	1569814054467	OK	 
REQUEST	14		send_do_you_have_children Redirect 1	1569814054461	1569814054482	OK	 
REQUEST	21		send_dob	1569814054485	1569814054505	OK	 
REQUEST	28		send_dob	1569814054485	1569814054510	OK	 
USER	Scottish Scenario	5	END	1569814051735	1569814054525
REQUEST	28		send_dob Redirect 1	1569814054512	1569814054529	OK	 
REQUEST	21		send_dob Redirect 1	1569814054508	1569814054530	OK	 
USER	Full scenarios	42	START	1569814054574	1569814054574
USER	Scottish Scenario	36	START	1569814054574	1569814054574
REQUEST	29		send_dob	1569814054574	1569814054592	OK	 
REQUEST	42		scotland-no	1569814054578	1569814054606	OK	 
REQUEST	36		scotland-yes	1569814054575	1569814054615	OK	 
REQUEST	29		send_dob Redirect 1	1569814054593	1569814054620	OK	 
REQUEST	42		send_do_you_live_in_scotland_no	1569814054614	1569814054626	OK	 
REQUEST	11		send_do_you_live_in_scotland_yes	1569814054615	1569814054633	OK	 
REQUEST	42		send_do_you_live_in_scotland_no Redirect 1	1569814054626	1569814054647	OK	 
REQUEST	11		send_do_you_live_in_scotland_yes Redirect 1	1569814054634	1569814054659	OK	 
USER	Scottish Scenario	3	END	1569814051334	1569814054665
USER	Scottish Scenario	4	END	1569814051534	1569814054685
USER	Full scenarios	43	START	1569814054734	1569814054734
USER	Scottish Scenario	37	START	1569814054744	1569814054744
REQUEST	25		send_do_you_live_in_scotland_yes	1569814054735	1569814054754	OK	 
REQUEST	37		scotland-yes	1569814054745	1569814054764	OK	 
REQUEST	43		scotland-no	1569814054735	1569814054770	OK	 
REQUEST	25		send_do_you_live_in_scotland_yes Redirect 1	1569814054755	1569814054772	OK	 
USER	Scottish Scenario	6	END	1569814051945	1569814054775
REQUEST	43		send_do_you_live_in_scotland_no	1569814054771	1569814054786	OK	 
REQUEST	43		send_do_you_live_in_scotland_no Redirect 1	1569814054787	1569814054803	OK	 
REQUEST	30		send_dob	1569814054855	1569814054868	OK	 
REQUEST	30		send_dob Redirect 1	1569814054869	1569814054888	OK	 
REQUEST	22		send_dob	1569814054875	1569814054895	OK	 
USER	Full scenarios	44	START	1569814054905	1569814054905
USER	Scottish Scenario	38	START	1569814054905	1569814054905
REQUEST	22		send_dob Redirect 1	1569814054896	1569814054916	OK	 
REQUEST	44		scotland-no	1569814054906	1569814054929	OK	 
REQUEST	38		scotland-yes	1569814054906	1569814054936	OK	 
REQUEST	44		send_do_you_live_in_scotland_no	1569814054932	1569814054953	OK	 
REQUEST	44		send_do_you_live_in_scotland_no Redirect 1	1569814054954	1569814054977	OK	 
USER	Scottish Scenario	7	END	1569814052144	1569814055005
USER	Scottish Scenario	2	END	1569814051134	1569814055054
USER	Scottish Scenario	45	START	1569814055074	1569814055074
USER	Full scenarios	51	START	1569814055074	1569814055074
REQUEST	45		scotland-yes	1569814055075	1569814055103	OK	 
REQUEST	51		scotland-no	1569814055075	1569814055107	OK	 
REQUEST	51		send_do_you_live_in_scotland_no	1569814055108	1569814055126	OK	 
REQUEST	17		send_do_you_have_children	1569814055135	1569814055151	OK	 
REQUEST	51		send_do_you_live_in_scotland_no Redirect 1	1569814055128	1569814055153	OK	 
REQUEST	17		send_do_you_have_children Redirect 1	1569814055152	1569814055171	OK	 
REQUEST	27		send_do_you_live_in_scotland_yes	1569814055184	1569814055216	OK	 
REQUEST	27		send_do_you_live_in_scotland_yes Redirect 1	1569814055217	1569814055234	OK	 
USER	Scottish Scenario	46	START	1569814055244	1569814055244
USER	Full scenarios	52	START	1569814055244	1569814055244
REQUEST	24		send_do_you_live_in_scotland_yes	1569814055255	1569814055269	OK	 
REQUEST	24		send_do_you_live_in_scotland_yes Redirect 1	1569814055270	1569814055291	OK	 
REQUEST	52		scotland-no	1569814055246	1569814055293	OK	 
REQUEST	46		scotland-yes	1569814055245	1569814055293	OK	 
REQUEST	52		send_do_you_live_in_scotland_no	1569814055295	1569814055316	OK	 
REQUEST	13		send_children_dob	1569814055305	1569814055323	OK	 
REQUEST	34		send_do_you_live_in_scotland_yes	1569814055307	1569814055336	OK	 
REQUEST	52		send_do_you_live_in_scotland_no Redirect 1	1569814055317	1569814055338	OK	 
REQUEST	13		send_children_dob Redirect 1	1569814055324	1569814055346	OK	 
REQUEST	34		send_do_you_live_in_scotland_yes Redirect 1	1569814055337	1569814055365	OK	 
USER	Scottish Scenario	8	END	1569814052344	1569814055395
USER	Scottish Scenario	47	START	1569814055404	1569814055404
USER	Full scenarios	53	START	1569814055405	1569814055405
REQUEST	31		send_dob	1569814055395	1569814055433	OK	 
REQUEST	47		scotland-yes	1569814055406	1569814055436	OK	 
REQUEST	31		send_dob Redirect 1	1569814055434	1569814055452	OK	 
REQUEST	53		scotland-no	1569814055405	1569814055453	OK	 
REQUEST	26		send_do_you_live_in_scotland_yes	1569814055435	1569814055459	OK	 
REQUEST	53		send_do_you_live_in_scotland_no	1569814055454	1569814055467	OK	 
REQUEST	26		send_do_you_live_in_scotland_yes Redirect 1	1569814055460	1569814055486	OK	 
REQUEST	53		send_do_you_live_in_scotland_no Redirect 1	1569814055468	1569814055487	OK	 
REQUEST	20		send_do_you_have_children	1569814055474	1569814055492	OK	 
REQUEST	32		send_dob	1569814055486	1569814055512	OK	 
REQUEST	20		send_do_you_have_children Redirect 1	1569814055493	1569814055515	OK	 
REQUEST	32		send_dob Redirect 1	1569814055513	1569814055530	OK	 
REQUEST	41		send_dob	1569814055535	1569814055552	OK	 
REQUEST	41		send_dob Redirect 1	1569814055553	1569814055566	OK	 
USER	Scottish Scenario	48	START	1569814055574	1569814055574
USER	Full scenarios	54	START	1569814055574	1569814055574
REQUEST	16		send_children_dob	1569814055554	1569814055574	OK	 
REQUEST	16		send_children_dob Redirect 1	1569814055576	1569814055593	OK	 
REQUEST	54		scotland-no	1569814055575	1569814055610	OK	 
REQUEST	48		scotland-yes	1569814055575	1569814055610	OK	 
REQUEST	19		send_do_you_have_children	1569814055595	1569814055626	OK	 
REQUEST	54		send_do_you_live_in_scotland_no	1569814055612	1569814055629	OK	 
REQUEST	19		send_do_you_have_children Redirect 1	1569814055627	1569814055642	OK	 
REQUEST	54		send_do_you_live_in_scotland_no Redirect 1	1569814055630	1569814055650	OK	 
REQUEST	35		send_do_you_live_in_scotland_yes	1569814055627	1569814055651	OK	 
REQUEST	14		send_children_dob	1569814055647	1569814055667	OK	 
REQUEST	18		send_do_you_have_children	1569814055654	1569814055675	OK	 
REQUEST	35		send_do_you_live_in_scotland_yes Redirect 1	1569814055652	1569814055678	OK	 
REQUEST	14		send_children_dob Redirect 1	1569814055668	1569814055686	OK	 
REQUEST	28		send_do_you_have_children	1569814055675	1569814055687	OK	 
REQUEST	18		send_do_you_have_children Redirect 1	1569814055676	1569814055692	OK	 
REQUEST	28		send_do_you_have_children Redirect 1	1569814055688	1569814055707	OK	 
USER	Full scenarios	55	START	1569814055745	1569814055745
USER	Scottish Scenario	49	START	1569814055745	1569814055745
REQUEST	49		scotland-yes	1569814055746	1569814055768	OK	 
REQUEST	55		scotland-no	1569814055746	1569814055780	OK	 
REQUEST	21		send_do_you_have_children	1569814055765	1569814055784	OK	 
REQUEST	55		send_do_you_live_in_scotland_no	1569814055781	1569814055794	OK	 
REQUEST	21		send_do_you_have_children Redirect 1	1569814055785	1569814055806	OK	 
REQUEST	55		send_do_you_live_in_scotland_no Redirect 1	1569814055794	1569814055809	OK	 
USER	Scottish Scenario	9	END	1569814052545	1569814055865
USER	Scottish Scenario	10	END	1569814052744	1569814055874
USER	Scottish Scenario	50	START	1569814055904	1569814055904
USER	Full scenarios	56	START	1569814055904	1569814055904
USER	Scottish Scenario	23	END	1569814053105	1569814055924
REQUEST	50		scotland-yes	1569814055905	1569814055927	OK	 
REQUEST	56		scotland-no	1569814055909	1569814055938	OK	 
REQUEST	56		send_do_you_live_in_scotland_no	1569814055940	1569814055956	OK	 
REQUEST	56		send_do_you_live_in_scotland_no Redirect 1	1569814055957	1569814055975	OK	 
REQUEST	12		send_children_dob	1569814055965	1569814055985	OK	 
REQUEST	43		send_dob	1569814055974	1569814055989	OK	 
REQUEST	12		send_children_dob Redirect 1	1569814055985	1569814056005	OK	 
REQUEST	43		send_dob Redirect 1	1569814055990	1569814056015	OK	 
REQUEST	33		send_do_you_live_in_scotland_yes	1569814056005	1569814056019	OK	 
REQUEST	33		send_do_you_live_in_scotland_yes Redirect 1	1569814056019	1569814056033	OK	 
REQUEST	30		send_do_you_have_children	1569814056025	1569814056041	OK	 
REQUEST	30		send_do_you_have_children Redirect 1	1569814056042	1569814056065	OK	 
USER	Full scenarios	63	START	1569814056075	1569814056075
USER	Scottish Scenario	57	START	1569814056075	1569814056075
REQUEST	40		send_dob	1569814056058	1569814056076	OK	 
REQUEST	57		scotland-yes	1569814056076	1569814056098	OK	 
REQUEST	40		send_dob Redirect 1	1569814056076	1569814056100	OK	 
REQUEST	63		scotland-no	1569814056075	1569814056109	OK	 
REQUEST	39		send_dob	1569814056105	1569814056122	OK	 
REQUEST	63		send_do_you_live_in_scotland_no	1569814056111	1569814056126	OK	 
REQUEST	37		send_do_you_live_in_scotland_yes	1569814056085	1569814056125	OK	 
REQUEST	63		send_do_you_live_in_scotland_no Redirect 1	1569814056131	1569814056146	OK	 
REQUEST	37		send_do_you_live_in_scotland_yes Redirect 1	1569814056131	1569814056150	OK	 
REQUEST	39		send_dob Redirect 1	1569814056124	1569814056167	OK	 
USER	Full scenarios	64	START	1569814056245	1569814056245
USER	Scottish Scenario	58	START	1569814056245	1569814056245
REQUEST	15		send_children_dob	1569814056246	1569814056259	OK	 
REQUEST	64		scotland-no	1569814056246	1569814056266	OK	 
REQUEST	64		send_do_you_live_in_scotland_no	1569814056267	1569814056279	OK	 
REQUEST	58		scotland-yes	1569814056246	1569814056288	OK	 
REQUEST	15		send_children_dob Redirect 1	1569814056259	1569814056289	OK	 
REQUEST	45		send_do_you_live_in_scotland_yes	1569814056255	1569814056289	OK	 
REQUEST	64		send_do_you_live_in_scotland_no Redirect 1	1569814056280	1569814056296	OK	 
REQUEST	45		send_do_you_live_in_scotland_yes Redirect 1	1569814056290	1569814056303	OK	 
REQUEST	29		send_do_you_have_children	1569814056365	1569814056394	OK	 
USER	Scottish Scenario	27	END	1569814053905	1569814056404
USER	Scottish Scenario	59	START	1569814056404	1569814056404
USER	Full scenarios	65	START	1569814056404	1569814056404
REQUEST	44		send_dob	1569814056384	1569814056409	OK	 
REQUEST	29		send_do_you_have_children Redirect 1	1569814056395	1569814056414	OK	 
REQUEST	44		send_dob Redirect 1	1569814056409	1569814056426	OK	 
REQUEST	65		scotland-no	1569814056405	1569814056430	OK	 
REQUEST	65		send_do_you_live_in_scotland_no	1569814056431	1569814056444	OK	 
REQUEST	36		send_do_you_live_in_scotland_yes	1569814056445	1569814056459	OK	 
REQUEST	59		scotland-yes	1569814056405	1569814056465	OK	 
REQUEST	36		send_do_you_live_in_scotland_yes Redirect 1	1569814056460	1569814056471	OK	 
REQUEST	65		send_do_you_live_in_scotland_no Redirect 1	1569814056445	1569814056471	OK	 
USER	Scottish Scenario	34	END	1569814054249	1569814056494
REQUEST	38		send_do_you_live_in_scotland_yes	1569814056485	1569814056502	OK	 
USER	Scottish Scenario	11	END	1569814052944	1569814056504
REQUEST	13		send_are_you_pregnant	1569814056505	1569814056521	OK	 
REQUEST	52		send_dob	1569814056505	1569814056526	OK	 
REQUEST	38		send_do_you_live_in_scotland_yes Redirect 1	1569814056503	1569814056531	OK	 
REQUEST	13		send_are_you_pregnant Redirect 1	1569814056522	1569814056542	OK	 
REQUEST	52		send_dob Redirect 1	1569814056526	1569814056547	OK	 
REQUEST	31		send_do_you_have_children	1569814056525	1569814056552	OK	 
REQUEST	31		send_do_you_have_children Redirect 1	1569814056553	1569814056574	OK	 
USER	Full scenarios	66	START	1569814056575	1569814056575
USER	Scottish Scenario	60	START	1569814056575	1569814056575
REQUEST	41		send_do_you_have_children	1569814056565	1569814056588	OK	 
REQUEST	20		send_children_dob	1569814056576	1569814056595	OK	 
REQUEST	60		scotland-yes	1569814056576	1569814056606	OK	 
REQUEST	66		scotland-no	1569814056576	1569814056610	OK	 
REQUEST	41		send_do_you_have_children Redirect 1	1569814056589	1569814056617	OK	 
REQUEST	42		send_dob	1569814056604	1569814056626	OK	 
REQUEST	20		send_children_dob Redirect 1	1569814056595	1569814056627	OK	 
USER	Scottish Scenario	25	END	1569814053504	1569814056634
REQUEST	66		send_do_you_live_in_scotland_no	1569814056611	1569814056639	OK	 
REQUEST	22		send_do_you_have_children	1569814056624	1569814056648	OK	 
REQUEST	42		send_dob Redirect 1	1569814056627	1569814056649	OK	 
USER	Scottish Scenario	26	END	1569814053704	1569814056654
REQUEST	66		send_do_you_live_in_scotland_no Redirect 1	1569814056640	1569814056661	OK	 
REQUEST	22		send_do_you_have_children Redirect 1	1569814056649	1569814056665	OK	 
REQUEST	48		send_do_you_live_in_scotland_yes	1569814056714	1569814056728	OK	 
REQUEST	51		send_dob	1569814056714	1569814056735	OK	 
USER	Scottish Scenario	61	START	1569814056744	1569814056744
USER	Full scenarios	67	START	1569814056745	1569814056745
REQUEST	48		send_do_you_live_in_scotland_yes Redirect 1	1569814056729	1569814056748	OK	 
REQUEST	51		send_dob Redirect 1	1569814056735	1569814056753	OK	 
REQUEST	67		scotland-no	1569814056746	1569814056765	OK	 
REQUEST	61		scotland-yes	1569814056745	1569814056769	OK	 
REQUEST	67		send_do_you_live_in_scotland_no	1569814056766	1569814056781	OK	 
USER	Scottish Scenario	24	END	1569814053305	1569814056795
REQUEST	67		send_do_you_live_in_scotland_no Redirect 1	1569814056781	1569814056796	OK	 
REQUEST	54		send_dob	1569814056796	1569814056817	OK	 
REQUEST	54		send_dob Redirect 1	1569814056818	1569814056830	OK	 
REQUEST	47		send_do_you_live_in_scotland_yes	1569814056845	1569814056867	OK	 
REQUEST	47		send_do_you_live_in_scotland_yes Redirect 1	1569814056868	1569814056886	OK	 
USER	Scottish Scenario	62	START	1569814056904	1569814056904
USER	Full scenarios	68	START	1569814056904	1569814056904
REQUEST	68		scotland-no	1569814056905	1569814056927	OK	 
REQUEST	62		scotland-yes	1569814056905	1569814056930	OK	 
REQUEST	68		send_do_you_live_in_scotland_no	1569814056928	1569814056941	OK	 
REQUEST	19		send_children_dob	1569814056924	1569814056942	OK	 
REQUEST	19		send_children_dob Redirect 1	1569814056943	1569814056961	OK	 
REQUEST	68		send_do_you_live_in_scotland_no Redirect 1	1569814056942	1569814056962	OK	 
REQUEST	18		send_children_dob	1569814057024	1569814057037	OK	 
REQUEST	18		send_children_dob Redirect 1	1569814057038	1569814057053	OK	 
USER	Full scenarios	75	START	1569814057074	1569814057074
USER	Scottish Scenario	69	START	1569814057074	1569814057074
REQUEST	43		send_do_you_have_children	1569814057075	1569814057092	OK	 
REQUEST	69		scotland-yes	1569814057076	1569814057101	OK	 
REQUEST	75		scotland-no	1569814057075	1569814057104	OK	 
REQUEST	43		send_do_you_have_children Redirect 1	1569814057093	1569814057112	OK	 
REQUEST	75		send_do_you_live_in_scotland_no	1569814057105	1569814057116	OK	 
REQUEST	75		send_do_you_live_in_scotland_no Redirect 1	1569814057116	1569814057134	OK	 
REQUEST	55		send_dob	1569814057135	1569814057153	OK	 
REQUEST	17		send_children_dob	1569814057156	1569814057170	OK	 
REQUEST	55		send_dob Redirect 1	1569814057153	1569814057173	OK	 
REQUEST	17		send_children_dob Redirect 1	1569814057171	1569814057188	OK	 
REQUEST	53		send_dob	1569814057177	1569814057192	OK	 
REQUEST	53		send_dob Redirect 1	1569814057193	1569814057206	OK	 
